No,Template,Correct Option Template,Wrong Options Template,Example Question,Option 1,Option 2,Option 3,Option 4,Reasoning Category,Cultural Aspect
14,"Among all [COUNTRY] presidents up until [YEAR], how many of them are [CONDITION]?",[The correct count of presidents meeting the condition],[Incorrect counts],"Among all US presidents up until 2023, how many of them were born in Virginia?",8,10,2,5,"Multi-hop Reasoning, Mathematical Reasoning","Politics and Governance, Famous People"
15,"Who/Which is the odd one out among these famous [PEOPLE, BOOKS, PLACES, ETC]?",[The person who doesn't share a common attribute with the others],[People who share the common attribute/s],Who/Which is the odd one out among these famous people?,Michael Jordan,Abraham Lincoln,Thomas Jefferson,George Washington,Multi-hop Reasoning,Famous People
16,Which of these [COUNTRY/REGION] historical events occurred most recently?,[The most recent [COUNTRY/REGION] historical event],[Earlier [COUNTRY/REGION] historical events],Which of these United States historical events occurred most recently?,The Moon Landing,The Declaration of Independence,The Civil War,The Louisiana Purchase,"Multi-hop Reasoning, Temporal Reasoning",Time
17,Which of the following [LANGUAGE] books was published first?,[The [LANGUAGE] book with the earliest publication date],[[LANGUAGE] Books with later publication dates],Which of the following English books was published first?,Moby-Dick, To Kill a Mockingbird,The Great Gatsby,The Catcher in the Rye,"Multi-hop Reasoning, Temporal Reasoning",Literature and written works
18,Which of the following [COUNTRY/REGION] mountains is the tallest?,[The [COUNTRY/REGION] mountain with the highest elevation],[Mountains of [COUNTRY/REGION] which have lower elevations],Which of the following US mountains is the tallest?,Mount McKinley (Denali),Mount Whitney,Pikes Peak,Mount Rainier,"Multi-hop Reasoning, Mathematical Reasoning",Landmarks and Architecture
19,Which of the following [COUNTRY/REGION] mountains is the shortest?,[The [COUNTRY/REGION] mountain with the lowest elevation],[Mountains of [COUNTRY/REGION] which have higher elevations],Which of the following Asian mountains is the shortest?,Mount Apo,Mount Sikaram,Mount Everest,K2,"Multi-hop Reasoning, Mathematical Reasoning",Landmarks and Architecture
20,"If [LANDMARK 1] is associated with [FOOD 1], which food would most likely be associated with [LANDMARK 2]?",[Food culturally associated with the region of [LANDMARK 2]],[Foods not culturally associated with the region of [LANDMARK 2]],"If the Statue of Liberty is associated with New York-style pizza, which food would most likely be associated with the Golden Gate Bridge?",Sourdough bread,Deep dish pizza,Philly cheesesteak,Lobster roll,"Logical Reasoning, Multi-hop Reasoning","Landmarks and Architecture, Food and Cuisine"
21,"If [LANDMARK 1] is associated with [PRODUCT BRAND 1], which brand would most likely be associated with [LANDMARK 2]?",[Brand associated with the region of [LANDMARK 2]],[Brands not associated with the region of [LANDMARK 2]],"If the Empire State Building is associated with IBM, which brand would most likely be associated with the Golden Gate Bridge?",Apple,Ford,Hershey's,Walmart,"Logical Reasoning, Multi-hop Reasoning","National Commerce, Landmarks and Architecture"
22,"[LANDMARK 1] -> [PERSON 1]\n
[LANDMARK 2] -> ?",[Person associated with [LANDMARK 2] (likely architect/designer)],[People not associated with [LANDMARK 2]],"Bird's Nest (Beijing National Stadium) -> Herzog & de Meuron\n
Shanghai Tower -> ?",Gensler,I.M. Pei,Wang Shu,Ma Yansong,"Logical Reasoning, Multi-hop Reasoning","Landmarks and Architecture, Famous People"
23,"[LANDMARK 1] ->  [SONG 1]\n
[LANDMARK 2] -> ?",[Song associated with the region of [LANDMARK 2]],[Songs not associated with the region of [LANDMARK 2]],"Taj Mahal -> Kajra Re\n
Gateway of India -> ?",Jai Jai Maharashtra Maza,Tunak Tunak Tun,Ilayaraja Melody,Rabindra Sangeet,"Logical Reasoning, Multi-hop Reasoning","Landmarks and Architecture, Music and Art"
24,Which is the closest to [CITY]?,[The city with the least geographical distance to [CITY]],[Cities with more geographical distance to [CITY]],Which is the closest to Beijing?,Tianjin,Shanghai,Guangzhou,Chengdu,"Mathematical Reasoning, Multi-hop Reasoning, Spatial Reasoning",Landmarks and Architecture
25,Which is the closest to [LANDMARK]?,[The city with the least geographical distance to [LANDMARK]],[Cities with more geographical distance to [LANDMARK]],Which is the closest to the Statue of Liberty?,Philadelphia,Boston,Washington D.C.,Chicago,"Mathematical Reasoning, Multi-hop Reasoning, Spatial Reasoning",Landmarks and Architecture
26,Which is the furthest from [LANDMARK]?,[The city with the most geographical distance from [LANDMARK]],[Cities with less geographical distance from [LANDMARK]],Which is the furthest from the Golden Gate Bridge?,Miami,Portland,Los Angeles,Denver,"Mathematical Reasoning, Multi-hop Reasoning, Spatial Reasoning",Landmarks and Architecture
27,"What is the title of the person who performs [RITUAL TYPE (wedding, funeral, harvest, etc)] in [CULTURE (mention the religion if there is any or if it depends on it)]?",[The authority figure who performs the ritual in that culture],[Authority figures from other cultures or same culture but different religions],"What is the title of the person who performs marriage ceremonies in Egyptian Islamic tradition?

",Imam (Ma'zoon),Mufti,Coptic Priest,Rabbi,Multi-hop Reasoning,"Weddings, socio-religious aspects of life"
28,"In [REGION]'s traditional [ARTFORM], what symbolizes [CONCEPT]?",[The symbol that represents the concept in that region's art tradition],[Symbols that don't represent the concept in that region's art tradition or symbols from other cultural traditions],"In Japanese traditional paintings, what symbolizes longevity?",Pine trees,Cherry blossoms,Mount Fuji,Koi fish,Multi-hop Reasoning,"socio-religious aspects of life, Music and Art"
29,Which [INGREDIENT] is NOT traditionally used in [DISH]?,[An ingredient that is foreign to the traditional recipe],[Ingredients that are genuinely used in the traditional recipe],"
Which ingredient is NOT traditionally used in Lebanese hummus?",Soy sauce,Chickpeas,Tahini,Olive oil,Multi-hop Reasoning,Food and Cuisine
30,Which traditional musical instrument is used during [CEREMONY] in [CULTURE]?,[The instrument used in that ceremony in that culture],[Instruments not used in that ceremony or from different cultural traditions],Which traditional musical instrument is used during wedding ceremonies in North India?,Shehnai,Tabla,Sitar,Sarangi,Multi-hop Reasoning,"Music and Art, socio-religious aspects of life"
31,"In [CULTURE]'s traditional medicine, which herb treats [AILMENT or DISEASE]?",[The herb used in that culture's traditional medicine for the specified ailment],[Herbs not used for that ailment in that culture's medicine or herbs from other medical traditions],"In Chinese traditional medicine, which herb treats insomnia?",Valerian root,Ginseng,Ginger,Astragalus,Multi-hop Reasoning,"socio-religious aspects of life, Food and Cuisine"
32,"If the proverb [PROVERB 1] is associated with [LANGUAGE 1], which proverb would be associated with [LANGUAGE 2]?",[A proverb that is representative of language 2's culture and has the same meaning as [PROVERB 1]],[Proverbs that are from other cultures or proverbs that mean different thing than [PROVERB 1]],"If the proverb ""A stitch in time saves nine"" is associated with English, which proverb would be associated with German?","""Vorsicht ist besser als Nachsicht"" (Caution is better than leniency)","""Übung macht den Meister"" (Practice makes the master)","""Morgenstund hat Gold im Mund"" (The morning hour has gold in its mouth)","""Wer rastet, der rostet"" (He who rests, rusts)","Logical Reasoning, Multi-hop Reasoning",Language and Communication
33,"In [CULTURE]'s mythology, which character is known as the [CHARACTER TRAIT/ROLE]?",[The character who has that trait or play this role in the culture's mythology],[Characters who don't have that trait or dont play role in the culture's mythology],"In Norse mythology, which character is known as the trickster god?",Loki,"Thor
",Odin,Freya,Commonsense Reasoning,Storytelling
34,Which of these brands is traditionally associated with [COUNTRY/REGION]?,[A brand that originates from or is strongly associated with the [COUNTRY/REGION]],[Brands that originate from or are associated with other countries than [COUNTRY/REGION]],Which of these brands is traditionally associated with Japan?,Toyota,Samsung,Volvo,Ferrari,Commonsense Reasoning,National Commerce
35,Which ancient text is considered the foundation of [PHILOSOPHICAL/RELIGIOUS TRADITION] in [COUNTRY/REGION]?,[The text that is genuinely foundational to that tradition in that region],[Texts that are not foundational to that tradition or belong to different traditions],Which ancient text is considered the foundation of Confucian philosophy in China?,The Analects,The Art of War,Tao Te Ching,I Ching (Book of Changes),Commonsense Reasoning,Literature and written works
36,Which material would be inappropriate for creating [TRADITIONAL ITEM] in [CULTURE]?,"[The material that's inappropriate for crearing [TRANDITIONAL ITEM]] 
[material from outside the culture's region OR material that functionally wouldn't work]",[Materials that are traditionally used in making the item OR materials with cultural significance OR naturally available materials in the culture's geographic region OR other cultures],Which material would be inappropriate for creating traditional Maasai warrior shields?,Plastic,Cowhide,Buffalo hide,Wood,Commonsense Reasoning,Material Culture
37,During which month or season would [CULTURAL/RELIGIOUS PRACTICE] traditionally take place in [CULTURE/REGION]?,[The accurate time period (month/season/date) when the practice traditionally takes place according to the culture's calendar system],[Incorrect time periods that might sound plausible OR periods from different calendar systems OR seasons that don't align with the traditional practice],During which month would Ramadan traditionally take place in Islamic cultures?,The ninth month of the Islamic lunar calendar,The first month of the Gregorian calendar,During summer solstice,During winter solstice,Temporal Reasoning,socio-religious aspects of life
38,Which among the following [FOOD] is typically good for a diabetic person?,[Non-Sugar FOOD],[Sugary FOOD],Which among the following is typically good for diabetic person?,Urap,Cendol,Es Kopyor,Martabak manis,Multi-hop Reasoning,Food and Cuisine
39,Which of these traditional dishes would NOT be served during [FESTIVAL] in [CULTURE/COUNTRY]?,[Dish not associated with this festival],[Dishes traditionally served at this festival],Which of these traditional dishes would NOT be served during Lunar New Year in China?,Zongzi,Dumplings,Fish,Tangyuan,"Multi-hop Reasoning, Commonsense Reasoning",Food and Cuisine
40,Which of these mourning practices is NOT traditionally observed in [CULTURE ( and religion if exists or matters)] funerals?,[Practice not associated with this culture],[Practices traditionally observed],Which of these mourning practices is NOT traditionally observed in Egyptian Islamic funerals?,Cremation of the body,Reading from the Quran,Washing and shrouding the deceased,Janazah prayer (funeral prayer),"Multi-hop Reasoning, Commonsense Reasoning",Death
41,"In a traditional [CULTURE] family, what term would a person use to address their [RELATIONSHIP TO RELATIVE]?",[Correct relationship term],[Terms for other relationships],"In a traditional Korean family, what term would a person use to address their father's older brother?",Keun-abeoji,Samchon,Ahjussi,Harabeoji,"Commonsense Reasoning, Multi-hop Reasoning",Relationships
42,"If a [CULTURE] person is celebrating [FESTIVAL/EVENT], which of these would be considered inappropriate to wear?",[Inappropriate attire],[appropriate attire],"If a Japanese person is celebrating a traditional wedding, which of these would be considered inappropriate to wear?",White kimono (for guests),Black montsuki (for male guests),Colorful kimono (for female guests),Hakama (for male guests),"Commonsense Reasoning, Multi-hop Reasoning","Material Culture, Social Customs, Time"
43,Which of these political systems was NOT traditionally practiced in [REGION] during the [TIME PERIOD]?,[System not practiced in that region/time],[Systems practiced in that region/time],Which of these political systems was NOT traditionally practiced in Medieval England (1066-1485)?,Communist state,Feudal monarchy,Manorial system,Chivalric knighthood,"Temporal Reasoning, Multi-hop Reasoning",Politics and Governance
44,"If you convert [DATE] in the [CALENDAR SYSTEM] calendar to the Gregorian calendar in [YEAR], which month would it fall in?",[Correct corresponding month],[incorrect months],"If you convert 7 Muharram in the Islamic Hijri calendar to the Gregorian calendar in 2024, which month would it fall in?",July,January,December,March,"Mathematical Reasoning, Temporal Reasoning",Time
45,If you wanted to prepare traditional [DISH] from [CULTURE/REGION]. Pick the LEAST necessary among these ingredients.,[the most non-essential ingredient],[Essential ingredients]," If you wanted to prepare traditional paella from Valencia, Spain. Pick the LEAST necessary among these ingredients.",Chorizo,Rice,Saffron,Olive oil,"Commonsense Reasoning, Multi-hop Reasoning, Causal Reasoning",Food and Cuisine
46,Which of these [OBJECTS] would be considered most sacred or important in [RELIGIOUS TRADITION]?,[Most sacred/important object],[Less important objects],Which of these objects would be considered most sacred or important in Zoroastrianism?,Fire,Water,Soil ,Wind,Commonsense Reasoning,socio-religious aspects of life
47,Which sequence correctly represents the chronological order of [EVENT TYPE] in [CULTURE/COUNTRY]?,[Correct chronological sequence],[Incorrect sequences],Which sequence correctly represents the chronological order of a traditional Hindu wedding ceremony?,"Mehendi, Sangeet, Baraat, Saptapadi","Baraat, Mehendi, Sangeet, Saptapadi","Sangeet, Mehendi, Saptapadi, Baraat","Mehendi, Baraat, Saptapadi, Sangeet","Temporal Reasoning, Multi-hop Reasoning","Weddings, Time"
48,"If you are navigating using traditional [CULTURE] methods, which of these would NOT help you determine your location or direction at sea?",[Method not used],[Methods traditionally used],"If you are navigating using traditional Polynesian methods, which of these would NOT help you determine your position at sea?",Compass,Star patterns,Ocean swells,Cloud formations,"Spatial Reasoning, Commonsense Reasoning",Material Culture
49,"In [CULTURE]'s folk tales, which character would be considered out of place if appearing alongside [CHARACTER]?",[Character from a different cultural tradition],[Characters from the same cultural tradition],"In Southern Appalachian folk tales, which character would be considered out of place if appearing alongside Jack (of Jack Tales)?",Paul Bunyan,Old Gally Mander,Wicked John,"Foolish Brother
",Multi-hop Reasoning,Storytelling
50,"If [DISH] is traditionally eaten during [FESTIVAL] in [COUNTRY], which of these ingredients would NOT be used in its preparation?",[The ingredient which is not used in the preparation of the [DISH] that is eaten during the [FESTIVAL] in [COUNTRY]],[Ingredients which are used in the preparation of the [DISH] that is eaten during the [FESTIVAL] in [COUNTRY]],"If Mooncakes are traditionally eaten during Mid-Autumn Festival in China, which of these ingredients would NOT be used in its preparation?",Tomato Sauce,Lotus Seed Paste,Salted Egg Yolk,Red Bean Paste,"Multi-hop Reasoning, Temporal Reasoning",Food and Cuisine
51,Which traditional [REGION] dish would NOT typically be served during [MEAL TIME]?,[Traditional [REGION] dish that would not be served during [MEAL TIME].,[Traditional [REGION] dish that would be served during [MEAL TIME].,Which traditional Yorkshire dish would NOT typically be served during Sunday lunch?,Fish and Chips,Yorkshire Pudding,Roast Beef,Gravy,Temporal Reasoning,Food and Cuisine
52,Which traditional [REGION] dish would NOT typically be served during [SEASON]?,[Traditional [REGION] dish that is not typically served during [SEASON]],[Traditional [REGION] dish that is typically served during [SEASON]],Which traditional British dessert is NOT typically served during summer?,Christmas Pudding,Eton Mess,Summer Pudding,Strawberries and Cream,"Temporal Reasoning, Logical Reasoning",Food and Cuisine
53,Which [NATION] [CULTURAL ITEM] is traditionally associated with [OCCASION]?,[[CULTURAL ITEM] from [NATION] which is traditionally associate with [OCCASION]],[[CULTURAL ITEM] from [NATION] which is not traditionally associate with [OCCASION]],Which Norwegian clothing item is traditionally associated with Constitution Day celebrations?,Bunad,Gákti,Lopapeysa,Lederhosen,Temporal Reasoning,Material Culture
54,"In [CULTURE] folklore, which creature would NOT be found in [LOCATION/CONTEXT]?",[Creature in [CULTURE] folklore that would not found in [LOCATION/CONTEXT]],[Creature in [CULTURE] folklore that could be found in [LOCATION/CONTEXT]],"In Norwegian folklore, which creature would NOT be found in mountain regions?",Nøkken,Troll,Huldra,Nisse,Logical Reasoning,Storytelling
55,"In a traditional [CULTURE] wedding, which element would be considered out of place?",[Element not belonging in [CULTURE] wedding],[Element belonging in [CULTURE] wedding],"In a traditional Chinese wedding, which element would be considered out of place?",Blue decorations,Red envelopes (hongbao),Double happiness symbol,Phoenix and dragon motifs,"Logical Reasoning, Causal Reasoning","Weddings, Social Customs, Material Culture"
56,"According to traditional [CULTURE] medicine, which [FOOD/HERB] would be inappropriate to consume during [CONDITION/SEASON]?",[[FOOD/HERB] inappropriate during [CONDITION/SEASON] in [CULTURE] medicine],[[FOOD/HERB] appropriate during [CONDITION/SEASON] in [CULTURE] medicine],"According to traditional Chinese medicine, which food would be inappropriate to consume during pregnancy?",Chinese herb ephedra (ma huang),Red dates (hong zao),Black chicken soup,Ginger,"Causal Reasoning, Commonsense Reasoning","Pregnancy and Kids, socio-religious aspects of life, Food and Cuisine"
57,"According to [CULTURE] tradition, which activity would be inappropriate during [HOLIDAY/OCCASION]?",[Activity inappropriate during [HOLIDAY/OCCASION] in [CULTURE]],[Activity appropriate during [HOLIDAY/OCCASION] in [CULTURE]],"According to Norwegian tradition, which activity would be inappropriate during Easter (Påske)?",Decorating Christmas trees,Skiing in the mountains,Reading crime novels,Painting eggs,"Causal Reasoning, Temporal Reasoning","Time, Social Customs"
58,What would be the most inappropriate gift to bring to a [CULTURE] [OCCASION]?,[Gift inappropriate for [CULTURE] [OCCASION] due to cultural significance],[Gift appropriate for [CULTURE] [OCCASION] due to cultural significance],What would be the most inappropriate gift to bring to a Chinese housewarming?,Clock (sounds like 'end'),Potted plant,Tea set,Rice basket,"Causal Reasoning, Multi-hop Reasoning","Language and Communication, Social Customs"
59,"When celebrating [OCCASION] in [CULTURE], which sequence of events would be considered incorrect?",[INCORRECT SEQUENCE of traditional events],[CORRECT SEQUENCES of traditional events],"When celebrating a traditional British Christmas, which sequence of events would be considered incorrect?","Opening presents, carol singing, Christmas dinner, Queen's speech","Queen's speech, Christmas dinner, present opening, carol singing","Christmas dinner, Queen's speech, present opening, carol singing","Present opening, Christmas dinner, Queen's speech, carol singing","Temporal Reasoning, Logical Reasoning","Social Customs, Time"
60,"According to [CULTURE] tradition, which combination of [ITEMS] would create conflict if used together?",[CONFLICTING COMBINATION based on cultural beliefs],[HARMONIOUS COMBINATIONS based on cultural beliefs],"According to Chinese tradition, which combination of foods would create conflict if used together?",Crab and persimmon,Ginger and brown sugar,Green onion and garlic,Pork and bamboo shoots,"Logical Reasoning, Causal Reasoning","socio-religious aspects of life, Material Culture"
61,Which [CULTURE] instrument is played during [TIME] of [CEREMONY]?,[Appropriate [CULTURE] instrument for [TIME] of [CEREMONY]],[Inappropriate [CULTURE] instrument for [TIME] of [CEREMONY]],Which Indian instrument is played during dawn of wedding?,Shehnai,Tabla,Sitar,Harmonium,Temporal Reasoning,"Weddings, Music and Art"
62,"In [CULTURE]'s artistic tradition, which material is primarily used to create [SPECIFIC ART FORM]?",[Materials historically and traditionally used for the [SPECIFIC ART FORM] in that culture],[Materials used in different cultural artistic traditions],"In Japanese artistic tradition, which material is primarily used to create traditional woodblock prints?",Cherry wood,Clay,Marble,Metal,"Causal Reasoning, Commonsense Reasoning","Music and Art, Material Culture"
63,"According to [CULTURE] tradition, which food combination brings [OUTCOME] during [OCCASION]?",[Food combination that brings [OUTCOME] in [CULTURE] tradition during [OCCASION]],[Food combination that does not bring [OUTCOME] in [CULTURE] tradition during [OCCASION]],"According to Chinese tradition, which food combination brings longevity during New Year?",Noodles with eggs,Rice with fish,Pork with cabbage,Chicken with mushrooms,"Causal Reasoning, Multi-hop Reasoning","Food and Cuisine , Social Customs"
64,"According to [CULTURE] superstition, which [SIGN/SYMBOL/OCCURRENCE] foretells [OUTCOME]?",[[SIGN/SYMBOL/OCCURRENCE] in [CULTURE] traditionally associated with predicting the [OUTCOME]],[[SIGN/SYMBOL/OCCURRENCE] in [CULTURE] not traditionally associated with predicting the [OUTCOME]],"According to Italian superstition, which occurrence foretells bad luck?",Spilling olive oil,Finding a coin,Seeing a rainbow,Hearing church bells,"Causal Reasoning, Temporal Reasoning","Storytelling, socio-religious aspects of life"
65,Which of the following events is not common for traditional festivals in [SEASON] in [COUNTRY]?,[Event in [REGION] which typically happens during the festival in this season],[Event in [REGION] which typically does not happen during the festival in this season],Which of the following events is not common for festivals in Fall in China?,Dragon Boat Race,Dragon Dance,Lighting the lantern ,Make Mooncakes,"Commonsense Reasoning, Multi-hop Reasoning","Social Customs, Time"
66,Which of the following is not typically included in wedding gifts in [COUNTRY]?,[Item or Food or Gift usually given or provided at Wedding in [Country]],[Item or Food or Gift not usually given or provided at Wedding in [Country]],Which of the following is not typically included in wedding gifts in China?,Walnuts,Seeds,Dates,Longans,Commonsense Reasoning,"Weddings, Food and Cuisine"
67,"According to [CULTURE] weather wisdom, what does [SIGN] predict about [OUTCOME]?",[Traditional prediction based on sign],[Incorrect predictions],"According to British weather wisdom, what does a red sky at night predict about tomorrow?",Fair Weather,Rain,Snow,Strong Winds,"Causal Reasoning, Temporal Reasoning","Time, socio-religious aspects of life"
68,"In [CULTURE] traditional measurements, how many [UNIT] equal one [LARGER UNIT]?",[Correct traditional measurement conversion],[Incorrect conversion rates],"In Japanese traditional measurements, how many sun equal one shaku?",10 sun,6 sun,12 sun,8 sun,"Mathematical Reasoning, Logical Reasoning","Material Culture, Social Customs"
69,"In [CULTURE] naming tradition, what determines the [NAME COMPONENT]?",[Correct determinant of [NAME COMPONENT] in [CULTURE]],[Incorrect determinant of [NAME COMPONENT] in [CULTURE]],"In Icelandic naming tradition, what determines the last name?",Father's first name plus 'son' or 'dottir',Family profession,Birth location,Mother's first name,"Logical Reasoning, Causal Reasoning","Relationships, Social Customs"
70,"In [CULTURE] wedding customs, who traditionally pays for [EXPENSE]?",[Traditional payer of [EXPENSE] according to [CULTURE]],[non-traditional payer of [EXPENSE] according to [CULTURE]],"In American wedding customs, who traditionally pays for the engagement ring?",The groom,The bride's father,Both families equally,The maid of honor,Logical Reasoning,"Weddings, Relationships"
71,What is the traditional meaning of [COLOR] in [CULTURE] [CONTEXT]?,[Traditional meaning of [COLOR]],[Incorrect meanings for that culture],What is the traditional meaning of white in Western wedding context?,Purity and innocence,Mourning and grief,Good luck and fortune,Power and strength,Logical Reasoning,"Weddings, Material Culture"
72,Which of the following architectural structures was initiated by [RULER] during their reign?,[[BUILDING/STRUCTURE] started by the ruler],[[BUILDING/STRUCTURE] inherited by the ruler],Which of the following structures was initiated by a Chinese emperor during his reign?,The Forbidden City,Great Wall,Summer Palace,Temple of Heaven,Multi-hop Reasoning,Landmarks and Architecture
73,"According to [CULTURE] superstition, what should one do after [ACTION] to avoid bad luck?",[Traditional practice  in [CULTURE] to avoid bad luck after [ACTION]],[Not a traditional practice  in [CULTURE] to avoid bad luck after [ACTION]],"According to British superstition, what should one do after spilling salt to avoid bad luck?",Throw salt over the left shoulder,Clap three times,Open a window,Turn in a circle,"Causal Reasoning, Logical Reasoning","socio-religious aspects of life, Social Customs"
74,"In [CULTURE/COUNTRY], which pair of relatives would be addressed using completely different terms rather than variations of the same term?",[The pair of relatives one would address differently],[The pair of relatives one would address the same],"In Chinese culture, which pair of relatives would be addressed using completely different terms rather than variations of the same term?",Father's big brother and little brother,Mother's big brother and little brother,Father's big sister and little sister,Mother's big sister and little sister,Multi-hop Reasoning,"Social Customs, Relationships"
75,Which of the following [PEOPLE] does not share the key trait of [COMMON TRAIT]?,[Person who does not share the [COMMON TRAIT] with the rest],[[PEOPLE] who share the [COMMON TRAIT]],Which of the following individuals does not share the key trait of having a scientific unit or law named after them?,Edison,Ohm,Joule,Euler,Multi-hop Reasoning,Famous People
76,"If [COUNTRY] suddenly stopped all international trade, which essential commodity would become most scarce?",[Commodity heavily imported by [COUNTRY] from other countries],[Other commodities less important or not imported by other countries],"If Japan suddenly stopped all international trade, which essential commodity would become most scarce?",Crude oil,Rice,Seafood,Electronics,"Logical Reasoning, Causal Reasoning",National Commerce
77,Who was the [TITLE/LEADER] of [COUNTRY] when [EVENT IN COUNTRY] happened?,[[TITLE/LEADER] of  [COUNTRY] during the time of [EVENT IN COUNTRY]],"[[TITLE/LEADER] of  [COUNTRY] who served before or after [EVENT IN COUNTRY], or from unrelated country]","Who was the Prime Minister of the United Kingdom when the Brexit referendum was held?

",David Cameron,Theresa May,Gordon Brown,Boris Johnson,"Temporal Reasoning, Multi-hop Reasoning","Famous People, Politics and Governance"
78,"Among the states/provinces that are adjacent to [STATE/PROVINCE], which [SECONDARY CONDITION]?",[the state or province that's adjacent to [STATE/PROVINCE] and meets the [SECONDARY CONDITION]],[the states or provinces that aren't adjacent to [STATE/PROVINCE] or don't meet the [SECONDARY CONDITION]],"Among the states that are adjacent to Texas, which has a coastline on the Gulf of Mexico?",Louisiana,New Mexico,Oklahoma,Arkansas,"Spatial Reasoning, Multi-hop Reasoning",Landmarks and Architecture
